Legend:,,,,
,,,,
1-P =,Untitled 1 Process,,,
,,,,
,,,,
Interval:,1,Seconds,,
DataPoint,LogDate,LogTime,1-P °F,celsius 
287,2/23/2023,6:27:09 PM,411,210.5555556
288,2/23/2023,6:27:10 PM,411,210.5555556
289,2/23/2023,6:27:11 PM,411,210.5555556
290,2/23/2023,6:27:12 PM,411,210.5555556
291,2/23/2023,6:27:13 PM,411,210.5555556
292,2/23/2023,6:27:14 PM,411,210.5555556
293,2/23/2023,6:27:15 PM,411,210.5555556
294,2/23/2023,6:27:16 PM,411,210.5555556
295,2/23/2023,6:27:17 PM,411,210.5555556
296,2/23/2023,6:27:18 PM,411,210.5555556
297,2/23/2023,6:27:19 PM,411,210.5555556
298,2/23/2023,6:27:20 PM,411,210.5555556
299,2/23/2023,6:27:21 PM,410,210
300,2/23/2023,6:27:22 PM,410,210
301,2/23/2023,6:27:23 PM,410,210
302,2/23/2023,6:27:24 PM,410,210
303,2/23/2023,6:27:25 PM,410,210
304,2/23/2023,6:27:26 PM,410,210
305,2/23/2023,6:27:27 PM,410,210
306,2/23/2023,6:27:28 PM,410,210
307,2/23/2023,6:27:29 PM,409,209.4444444
308,2/23/2023,6:27:30 PM,409,209.4444444
309,2/23/2023,6:27:31 PM,409,209.4444444
310,2/23/2023,6:27:32 PM,409,209.4444444
311,2/23/2023,6:27:33 PM,409,209.4444444
312,2/23/2023,6:27:34 PM,409,209.4444444
313,2/23/2023,6:27:35 PM,409,209.4444444
314,2/23/2023,6:27:36 PM,408,208.8888889
315,2/23/2023,6:27:37 PM,408,208.8888889
316,2/23/2023,6:27:38 PM,408,208.8888889
317,2/23/2023,6:27:39 PM,408,208.8888889
318,2/23/2023,6:27:40 PM,408,208.8888889
319,2/23/2023,6:27:41 PM,407,208.3333333
320,2/23/2023,6:27:42 PM,407,208.3333333
321,2/23/2023,6:27:43 PM,407,208.3333333
322,2/23/2023,6:27:44 PM,407,208.3333333
323,2/23/2023,6:27:45 PM,407,208.3333333
324,2/23/2023,6:27:46 PM,407,208.3333333
325,2/23/2023,6:27:47 PM,406,207.7777778
326,2/23/2023,6:27:48 PM,406,207.7777778
327,2/23/2023,6:27:49 PM,406,207.7777778
328,2/23/2023,6:27:50 PM,406,207.7777778
329,2/23/2023,6:27:51 PM,406,207.7777778
330,2/23/2023,6:27:52 PM,405,207.2222222
331,2/23/2023,6:27:53 PM,405,207.2222222
332,2/23/2023,6:27:54 PM,405,207.2222222
333,2/23/2023,6:27:55 PM,405,207.2222222
334,2/23/2023,6:27:56 PM,405,207.2222222
335,2/23/2023,6:27:57 PM,404,206.6666667
336,2/23/2023,6:27:58 PM,404,206.6666667
337,2/23/2023,6:27:59 PM,404,206.6666667
338,2/23/2023,6:28:00 PM,404,206.6666667
