Test : Rate 1,"2.54000",mm/min
Specimen notes : Specimen note 1,""

Time,Extension,Load
(s),(mm),(kN)
"54.00000","2.28616","3.27754"
"54.10000","2.29019","3.27874"
"54.20000","2.29459","3.28044"
"54.30000","2.29890","3.27968"
"54.40000","2.30293","3.27905"
"54.50000","2.30724","3.28116"
"54.60000","2.31165","3.28121"
"54.70000","2.31577","3.27942"
"54.80000","2.31989","3.28105"
"54.90000","2.32430","3.28194"
"55.00000","2.32851","3.28092"
"55.10000","2.33254","3.28085"
"55.20000","2.33685","3.28311"
"55.30000","2.34117","3.28282"
"55.40000","2.34529","3.28167"
"55.50000","2.34950","3.28300"
"55.60000","2.35391","3.28359"
"55.70000","2.35803","3.28224"
"55.80000","2.36216","3.28322"
"55.90000","2.36656","3.28477"
"56.00000","2.37087","3.28334"
"56.10000","2.37490","3.28322"
"56.20000","2.37921","3.28589"
"56.30000","2.38352","3.28519"
"56.40000","2.38764","3.28380"
"56.50000","2.39186","3.28529"
"56.60000","2.39626","3.28622"
"56.70000","2.40048","3.28411"
"56.80000","2.40451","3.28495"
"56.90000","2.40882","3.28701"
"57.00000","2.41313","3.28542"
"57.10000","2.41725","3.28467"
"57.20000","2.42147","3.28712"
"57.30000","2.42588","3.28697"
"57.40000","2.42991","3.28625"
"57.50000","2.43412","3.28707"
"57.60000","2.43853","3.28820"
"57.70000","2.44274","3.28686"
"57.80000","2.44687","3.28672"
"57.90000","2.45118","3.28891"
"58.00000","2.45558","3.28789"
"58.10000","2.45961","3.28672"
"58.20000","2.46383","3.28791"
"58.30000","2.46823","3.28949"
"58.40000","2.47245","3.28756"
"58.50000","2.47648","3.28833"
"58.60000","2.48088","3.29006"
"58.70000","2.48519","3.28846"
"58.80000","2.48913","3.28880"
"58.90000","2.49344","3.29065"
"59.00000","2.49784","3.29007"
"59.10000","2.50187","3.28893"
"59.20000","2.50609","3.29004"
"59.30000","2.51059","3.29062"
"59.40000","2.51462","3.29038"
"59.50000","2.51874","3.29000"
"59.60000","2.52314","3.29202"
"59.70000","2.52745","3.29117"
"59.80000","2.53148","3.28985"
"59.90000","2.53579","3.29191"
"60.00000","2.54020","3.29221"
"60.10000","2.54432","3.29046"
"60.20000","2.54844","3.29127"
"60.30000","2.55294","3.29246"
"60.40000","2.55716","3.29139"
"60.50000","2.56119","3.29152"
"60.60000","2.56550","3.29340"
"60.70000","2.56990","3.29259"
"60.80000","2.57393","3.29182"
"60.90000","2.57815","3.29294"
"61.00000","2.58255","3.29347"
"61.10000","2.58668","3.29223"
"61.20000","2.59080","3.29267"
"61.30000","2.59520","3.29406"
"61.40000","2.59942","3.29280"
"61.50000","2.60345","3.29283"
"61.60000","2.60776","3.29514"
"61.70000","2.61216","3.29430"
"61.80000","2.61619","3.29290"
"61.90000","2.62041","3.29436"
"62.00000","2.62491","3.29528"
"62.10000","2.62903","3.29329"
"62.20000","2.63315","3.29393"
"62.30000","2.63747","3.29518"
"62.40000","2.64178","3.29398"
"62.50000","2.64590","3.29386"
"62.60000","2.65012","3.29565"
"62.70000","2.65452","3.29565"
"62.80000","2.65855","3.29354"
"62.90000","2.66277","3.29515"
"63.00000","2.66726","3.29570"
"63.10000","2.67139","3.29462"
"63.20000","2.67542","3.29525"
"63.30000","2.67982","3.29594"
"63.40000","2.68404","3.29526"
"63.50000","2.68816","3.29432"
"63.60000","2.69238","3.29664"
"63.70000","2.69678","3.29617"
"63.80000","2.70081","3.29490"
"63.90000","2.70503","3.29597"
"64.00000","2.70943","3.29673"
"64.10000","2.71365","3.29520"
"64.20000","2.71777","3.29596"
"64.30000","2.72218","3.29747"
"64.40000","2.72649","3.29585"
"64.50000","2.73052","3.29595"
"64.60000","2.73483","3.29814"
"64.70000","2.73923","3.29778"
"64.80000","2.74326","3.29606"
"64.90000","2.74748","3.29676"
"65.00000","2.75188","3.29772"
"65.10000","2.75600","3.29595"
"65.20000","2.76013","3.29665"
"65.30000","2.76453","3.29787"
"65.40000","2.76875","3.29681"
"65.50000","2.77278","3.29594"
"65.60000","2.77709","3.29791"
"65.70000","2.78140","3.29723"
"65.80000","2.78552","3.29651"
"65.90000","2.78974","3.29774"
"66.00000","2.79414","3.29812"
"66.10000","2.79827","3.29679"
"66.20000","2.80248","3.29773"
"66.30000","2.80689","3.29889"
"66.40000","2.81120","3.29704"
"66.50000","2.81523","3.29696"
"66.60000","2.81954","3.29882"
"66.70000","2.82394","3.29795"
"66.80000","2.82788","3.29704"
"66.90000","2.83219","3.29883"
"67.00000","2.83650","3.29877"
"67.10000","2.84071","3.29729"
"67.20000","2.84474","3.29762"
"67.30000","2.84905","3.29925"
"67.40000","2.85337","3.29748"
"67.50000","2.85739","3.29695"
"67.60000","2.86180","3.29942"
"67.70000","2.86611","3.29881"
"67.80000","2.87023","3.29733"
"67.90000","2.87445","3.29833"
"68.00000","2.87885","3.29921"
"68.10000","2.88298","3.29712"
"68.20000","2.88710","3.29785"
"68.30000","2.89150","3.29918"
"68.40000","2.89581","3.29783"
"68.50000","2.89984","3.29730"
"68.60000","2.90415","3.29935"
"68.70000","2.90856","3.29846"
"68.80000","2.91259","3.29712"
"68.90000","2.91680","3.29865"
"69.00000","2.92121","3.29925"
"69.10000","2.92533","3.29765"
"69.20000","2.92946","3.29773"
"69.30000","2.93377","3.29881"
"69.40000","2.93808","3.29772"
"69.50000","2.94211","3.29721"
"69.60000","2.94642","3.29882"
"69.70000","2.95082","3.29883"
"69.80000","2.95494","3.29770"
"69.90000","2.95907","3.29819"
"70.00000","2.96347","3.29883"
"70.10000","2.96769","3.29764"
"70.20000","2.97181","3.29731"
"70.30000","2.97612","3.29851"
"70.40000","2.98043","3.29750"
"70.50000","2.98455","3.29700"
"70.60000","2.98877","3.29793"
"70.70000","2.99318","3.29788"
"70.80000","2.99720","3.29657"
"70.90000","3.00142","3.29774"
"71.00000","3.00583","3.29837"
"71.10000","3.01004","3.29632"
"71.20000","3.01417","3.29674"
"71.30000","3.01848","3.29790"
"71.40000","3.02279","3.29625"
"71.50000","3.02682","3.29545"
"71.60000","3.03103","3.29687"
"71.70000","3.03544","3.29656"
"71.80000","3.03956","3.29525"
"71.90000","3.04368","3.29678"
"72.00000","3.04809","3.29724"
"72.10000","3.05240","3.29555"
"72.20000","3.05643","3.29504"
"72.30000","3.06074","3.29673"
"72.40000","3.06505","3.29562"
"72.50000","3.06917","3.29443"
"72.60000","3.07348","3.29654"
"72.70000","3.07789","3.29598"
"72.80000","3.08192","3.29458"
"72.90000","3.08613","3.29569"
"73.00000","3.09054","3.29655"
"73.10000","3.09475","3.29424"
"73.20000","3.09878","3.29401"
"73.30000","3.10309","3.29537"
"73.40000","3.10740","3.29389"
"73.50000","3.11153","3.29335"
"73.60000","3.11574","3.29440"
"73.70000","3.12015","3.29394"
"73.80000","3.12427","3.29255"
"73.90000","3.12839","3.29342"
"74.00000","3.13289","3.29416"
"74.10000","3.13701","3.29213"
"74.20000","3.14114","3.29179"
"74.30000","3.14545","3.29310"
"74.40000","3.14985","3.29201"
